Time,Replicate#,five_10mTHF_G_1_M,five_10mTHF_G_2_M,five_10mTHF_G_3_M,five_CH3THF_G_1_M,five_CH3THF_G_2_M,five_CH3THF_G_3_M,DHF_G_1_M,DHF_G_2_M,DHF_G_3_M,THF_G_1_M,THF_G_2_M,THF_G_3_M,pAB_G_1_M,pAB_G_2_M,pAB_G_3_M,pte_G_1_M,pte_G_2_M,pte_G_3_M
0,1,0.0066746,0.044368,13.1569,0.33473,1.7554,50.7319,0.0078493,0.048634,15.7269,0.0068541,0.045293,2.1242,0.01145,0.065769,0.91191,0.0069166,0.045613,0.076934
6,1,0.0048057,0.17658,4.342,0.4075,0.47753,4.3523,0.80427,1.8504,39.5661,0.0068541,0.47286,0.46049,0.43268,0.62349,7.9179,0.0069166,0.045613,0.42314
10,1,0.030036,0.050135,2.4925,0.55437,0.14812,1.4835,0.93881,1.139,47.209,0.011035,0.34196,0.89268,0.30696,0.40119,6.6337,0.0069166,0.045613,0.4993
20,1,0.078227,0.14641,0.97701,1.5835,0.19941,0.5595,1.2648,1.9976,57.3941,0.0038383,0.22737,0.33887,0.8625,1.197,7.4512,0.00166,0.045613,1.4794
35,1,0.10566,0.19389,0.94692,1.3303,0.70656,0.144,2.3438,2.079,30.1803,0.021316,1.6473,0.25396,0.91219,1.4607,16.3744,0.0086458,0.049718,1.4417
65,1,0.13262,0.39576,0.22263,2.202,1.2018,0.45825,2.4686,3.5016,11.1801,0.089309,3.9994,0.39624,1.1738,2.0776,19.1409,0.0069166,0.045613,2.5334
125,1,0.25737,0.044368,0.10605,2.2282,1.9136,0.2385,1.8068,4.1375,4.5345,0.060248,1.4494,0.097147,0.83742,1.9954,6.4275,0.09206,0.2714,0.90244
0,2,0.0066746,0.044368,6.1945,1.2164,1.8137,39.2156,0.0068853,0.42498,14.165,0.0068541,0.045293,0.29144,0.01145,0.065769,4.3431,0.0069166,0.045613,0.076934
6,2,0.0048057,0.078974,1.7577,0.46711,1.2031,2.7098,0.56329,1.2172,39.0506,0.0068541,0.53038,0.52628,0.45981,0.59521,5.6982,0.0069166,0.045613,0.41698
10,2,0.004205,0.11624,1.3079,0.8883,0.28121,0.88201,0.63965,1.8826,17.6646,0.012063,0.48645,0.61501,0.41024,0.57613,8.7067,0.0069166,0.045613,0.21388
20,2,0.079695,0.05191,1.2372,2.3419,0.013265,0.4785,1.2721,1.9013,24.2443,0.069501,0.31252,0.082613,0.73758,0.7399,10.7757,0.0069166,0.045613,1.5833
35,2,0.062274,0.16239,0.98001,1.4718,0.20162,0.201,1.6413,2.3267,20.0166,0.044209,0.76047,0.092557,1.4812,1.1049,13.3843,0.023378,0.35304,1.2086
65,2,0.13296,0.18679,0.20082,3.7599,0.493,0.57826,2.5146,3.8389,10.9906,0.059425,1.5087,0.0589,2.2031,2.6991,14.4603,0.017499,0.42602,2.845
125,2,0.13436,0.32344,0.012786,3.4434,1.1664,1.0275,1.8918,6.2997,4.9671,0.099179,3.1357,0.052781,1.1675,4.1618,10.5511,0.017084,0.74759,2.0734
0,3,0.042584,0.044368,25.7918,0.772,2.4544,39.6948,0.0068853,0.23681,9.194,0.0068541,0.045293,0.96,0.01145,0.065769,1.7253,0.0069166,0.045613,0.076934
6,3,0.0066746,0.30569,5.1031,0.41215,0.44481,1.2503,0.65032,1.9713,50.2107,0.0068541,1.0155,0.33275,0.42089,0.36502,5.4817,0.0069166,0.045613,0.71241
10,3,0.064944,0.24624,2.6873,0.30695,0.024761,1.053,0.99534,1.474,20.826,0.019466,0.61916,0.054311,0.47264,1.124,5.014,0.0069166,0.045613,1.5218
20,3,0.096248,0.1646,2.2541,0.57311,0.011054,0.51075,1.2606,1.599,25.6857,0.0071283,0.32566,0.59665,0.66591,0.71885,8.9622,0.029119,0.045613,2.2719
35,3,0.066079,0.42549,0.3377,0.76383,0.46073,0.41325,2.0763,1.6113,17.9231,0.0068541,0.25002,0.19965,1.318,2.438,12.5503,0.034168,0.36718,3.9913
65,3,0.11961,0.57012,0.90255,2.9555,0.45233,0.396,2.3905,3.8489,10.6339,0.049487,1.2338,0.080318,1.6497,3.0924,21.2017,0.23164,0.46206,8.9182
125,3,0.16453,0.57323,0.1414,1.4797,1.0214,0.39,3.3541,5.7433,4.6388,0.098151,3.9858,0.15069,1.5389,6.3565,13.0745,0.058653,1.0518,4.8161